,Timestamp,Sensor Value_Water_Level_m,Sensor Value_RG1_mm
0,3/25/2020 12:47:00 AM,1.53544,319.6
1,3/25/2020 1:47:00 AM,1.559315,319.6
2,3/25/2020 2:47:00 AM,1.463815,319.6
3,3/25/2020 3:47:00 AM,1.48769,319.6
4,3/25/2020 4:47:00 AM,1.48769,319.6
5,3/25/2020 5:47:00 AM,1.511565,319.6
6,3/25/2020 6:47:00 AM,1.511565,319.6
7,3/25/2020 7:47:00 AM,1.463815,319.6
8,3/25/2020 8:47:00 AM,1.511565,319.6
9,3/25/2020 9:47:00 AM,1.463815,319.6
10,3/25/2020 10:47:00 AM,1.43994,319.6
11,3/25/2020 11:47:00 AM,1.511565,319.6
12,3/25/2020 12:47:00 PM,1.511565,319.6
13,3/25/2020 1:47:00 PM,1.53544,319.6
14,3/25/2020 2:47:00 PM,1.53544,319.6
15,3/25/2020 3:47:00 PM,1.53544,319.6
16,3/25/2020 4:47:00 PM,1.53544,319.6
17,3/25/2020 5:47:00 PM,1.48769,319.6
18,3/25/2020 6:47:00 PM,1.463815,319.6
19,3/25/2020 7:47:00 PM,1.43994,319.6
20,3/25/2020 8:47:00 PM,1.511565,319.6
21,3/25/2020 9:47:00 PM,1.43994,319.6
22,3/25/2020 10:47:00 PM,1.48769,319.6
23,3/25/2020 11:47:00 PM,1.416065,319.6
24,3/26/2020 12:47:00 AM,1.416065,319.6
25,3/26/2020 1:47:00 AM,1.43994,319.6
26,3/26/2020 2:47:00 AM,1.43994,319.6
27,3/26/2020 3:47:00 AM,1.416065,319.6
28,3/26/2020 4:47:00 AM,1.43994,319.6
29,3/26/2020 5:47:00 AM,1.48769,319.6
30,3/26/2020 6:47:00 AM,1.43994,319.6
31,3/26/2020 7:47:00 AM,1.463815,319.6
32,3/26/2020 8:47:00 AM,1.43994,319.6
33,3/26/2020 9:47:00 AM,1.463815,319.6
34,3/26/2020 10:47:00 AM,1.43994,319.6
35,3/26/2020 11:47:00 AM,1.559315,319.6
36,3/26/2020 12:47:00 PM,1.43994,319.6
37,3/26/2020 1:47:00 PM,1.48769,319.6
38,3/26/2020 2:47:00 PM,1.43994,319.6
39,3/26/2020 3:47:00 PM,1.43994,319.6
40,3/26/2020 4:47:00 PM,1.48769,319.6
41,3/26/2020 5:47:00 PM,1.48769,319.6
42,3/26/2020 6:47:00 PM,1.43994,319.6
43,3/26/2020 7:47:00 PM,1.463815,319.6
44,3/26/2020 8:47:00 PM,1.511565,319.6
45,3/26/2020 9:47:00 PM,1.463815,319.6
46,3/26/2020 10:47:00 PM,1.48769,319.6
47,3/26/2020 11:47:00 PM,1.463815,319.6
48,3/27/2020 12:47:00 AM,1.463815,319.6
49,3/27/2020 1:47:00 AM,1.416065,319.6
50,3/27/2020 2:47:00 AM,1.511565,319.6
51,3/27/2020 3:47:00 AM,1.48769,319.6
52,3/27/2020 4:47:00 AM,1.511565,319.6
53,3/27/2020 5:47:00 AM,1.463815,319.6
54,3/27/2020 6:47:00 AM,1.511565,319.6
55,3/27/2020 7:47:00 AM,1.463815,319.6
56,3/27/2020 8:47:00 AM,1.463815,319.6
57,3/27/2020 9:47:00 AM,1.463815,319.6
58,3/27/2020 10:47:00 AM,1.511565,319.6
59,3/27/2020 11:47:00 AM,1.48769,319.6
60,3/27/2020 12:47:00 PM,1.463815,319.6
61,3/27/2020 1:47:00 PM,1.463815,319.6
62,3/27/2020 2:47:00 PM,1.53544,319.6
63,3/27/2020 3:47:00 PM,1.511565,319.6
64,3/27/2020 4:47:00 PM,1.463815,319.6
65,3/27/2020 5:47:00 PM,1.559315,319.6
66,3/27/2020 6:47:00 PM,1.463815,320.2
67,3/27/2020 7:47:00 PM,1.48769,320.2
68,3/27/2020 8:47:00 PM,1.463815,320.2
69,3/27/2020 9:47:00 PM,1.53544,320.2
70,3/27/2020 10:47:00 PM,1.511565,320.2
71,3/27/2020 11:47:00 PM,1.511565,320.2
72,3/28/2020 12:47:00 AM,1.463815,320.2
73,3/28/2020 1:47:00 AM,1.43994,320.2
74,3/28/2020 2:47:00 AM,1.511565,320.2
75,3/28/2020 3:47:00 AM,1.511565,320.2
76,3/28/2020 4:47:00 AM,1.511565,320.2
77,3/28/2020 5:47:00 AM,1.48769,320.2
78,3/28/2020 6:47:00 AM,1.43994,320.2
79,3/28/2020 7:47:00 AM,1.48769,320.2
80,3/28/2020 8:47:00 AM,1.511565,320.2
81,3/28/2020 9:47:00 AM,1.511565,320.2
82,3/28/2020 10:47:00 AM,1.559315,320.2
83,3/28/2020 11:47:00 AM,1.559315,320.2
84,3/28/2020 12:47:00 PM,1.511565,320.2
85,3/28/2020 1:47:00 PM,1.58319,320.2
86,3/28/2020 2:47:00 PM,1.58319,320.2
87,3/28/2020 3:47:00 PM,1.559315,320.2
88,3/28/2020 4:47:00 PM,1.511565,320.2
89,3/28/2020 5:47:00 PM,1.53544,320.2
90,3/28/2020 6:47:00 PM,1.511565,320.2
91,3/28/2020 7:47:00 PM,1.559315,320.2
92,3/28/2020 8:47:00 PM,1.48769,320.2
93,3/28/2020 9:47:00 PM,1.48769,320.2
94,3/28/2020 10:47:00 PM,1.53544,320.2
95,3/28/2020 11:47:00 PM,1.511565,320.2
96,3/29/2020 12:47:00 AM,1.511565,320.2
97,3/29/2020 1:47:00 AM,1.53544,320.2
98,3/29/2020 2:47:00 AM,1.511565,320.2
99,3/29/2020 3:47:00 AM,1.48769,320.2
100,3/29/2020 4:47:00 AM,1.463815,320.2
101,3/29/2020 5:47:00 AM,1.48769,320.2
102,3/29/2020 6:47:00 AM,1.511565,320.2
103,3/29/2020 7:47:00 AM,1.559315,320.2
104,3/29/2020 8:47:00 AM,1.463815,320.2
105,3/29/2020 9:47:00 AM,1.43994,320.2
106,3/29/2020 10:47:00 AM,1.53544,320.2
107,3/29/2020 11:47:00 AM,1.463815,320.2
108,3/29/2020 12:47:00 PM,1.559315,320.2
109,3/29/2020 1:47:00 PM,1.559315,320.2
110,3/29/2020 2:47:00 PM,1.58319,320.2
111,3/29/2020 3:47:00 PM,1.559315,320.2
112,3/29/2020 4:47:00 PM,1.48769,320.2
113,3/29/2020 5:47:00 PM,1.53544,320.2
114,3/29/2020 6:47:00 PM,1.559315,320.2
115,3/29/2020 7:47:00 PM,1.463815,320.2
116,3/29/2020 8:47:00 PM,1.53544,320.2
117,3/29/2020 9:47:00 PM,1.463815,320.2
118,3/29/2020 10:47:00 PM,1.511565,320.2
119,3/29/2020 11:47:00 PM,1.48769,320.2
120,3/30/2020 12:47:00 AM,1.511565,320.2
121,3/30/2020 1:47:00 AM,1.43994,320.2
122,3/30/2020 2:47:00 AM,1.463815,320.2
123,3/30/2020 3:47:00 AM,1.43994,320.2
